R,G,B
68,65,63
74,69,64
70,71,63
77,72,71
76,76,72
79,76,70
81,78,66
87,78,72
83,79,80
82,82,75
85,82,79
91,84,73
94,86,85
91,89,82
93,91,76
92,91,90
100,92,82
99,95,91
105,96,80
99,97,89
108,97,92
104,101,104
107,106,101
111,106,94
111,107,88
117,111,107
124,111,91
122,119,105
119,119,122
126,121,97
160,107,115
124,122,117
122,126,167
138,128,119
142,130,110
181,113,151
136,134,130
138,137,119
144,137,107
135,138,144
171,124,163
197,114,150
209,112,145
148,146,143
222,112,145
160,148,123
216,120,159
197,130,168
154,153,126
241,110,126
157,152,139
212,128,164
231,119,157
238,116,151
228,126,134
154,156,159
242,117,136
128,167,117
228,127,162
243,121,129
167,161,123
139,163,192
165,164,157
156,165,173
243,129,162
130,166,237
220,144,178
202,160,104
247,135,134
202,152,187
169,169,144
245,136,173
196,168,135
186,171,145
242,144,177
143,175,231
173,175,174
135,177,244
248,149,147
188,177,135
180,180,143
181,178,167
249,155,137
196,171,205
169,181,192
151,191,128
226,162,189
246,158,187
143,186,248
245,166,161
217,175,197
187,190,142
190,186,189
241,174,109
187,189,183
192,190,161
168,188,238
250,170,150
195,191,175
184,193,197
155,195,248
211,190,145
248,173,198
203,197,143
200,197,156
180,199,216
226,190,155
212,195,163
251,183,149
224,192,170
204,194,220
240,190,112
203,200,191
196,205,173
199,202,200
169,205,249
250,187,170
246,186,214
248,188,207
193,204,240
204,206,190
230,195,224
228,203,162
250,196,164
205,212,159
224,202,215
245,201,155
235,205,149
214,210,175
217,211,164
200,211,217
212,211,197
215,214,150
182,214,250
212,211,202
226,212,155
209,217,173
208,216,212
223,208,239
214,216,198
197,218,233
249,207,173
231,213,182
232,214,168
249,204,212
250,202,224
216,215,216
215,217,232
217,224,166
195,223,251
198,225,226
212,220,247
236,215,239
249,215,209
251,218,168
251,217,191
224,225,192
231,225,167
226,220,245
250,213,236
251,218,179
231,225,181
251,214,229
235,219,233
197,229,252
224,226,218
228,229,178
222,227,227
208,228,251
207,232,221
204,231,252
217,230,237
250,221,226
207,232,240
232,232,164
252,226,171
250,227,159
252,226,180
241,224,245
211,233,252
251,223,240
222,231,250
252,228,190
235,229,247
207,236,252
217,235,251
223,241,168
233,235,216
252,227,238
250,230,213
252,232,184
239,231,242
252,233,172
252,233,178
215,238,252
215,239,237
222,237,251
226,242,183
220,241,222
248,232,228
212,240,252
228,238,236
238,240,182
231,241,199
252,235,201
235,237,239
235,237,232
218,240,252
236,236,250
230,243,192
251,232,246
251,233,240
231,239,251
252,239,172
252,238,193
225,241,252
217,243,252
227,244,215
252,240,186
224,244,234
251,241,166
222,243,252
252,242,181
237,247,181
232,242,250
249,242,204
221,246,251
239,247,172
228,245,252
251,245,196
251,241,248
235,247,252
231,249,252
229,251,251
240,251,230
252,252,168
241,248,252
252,252,174
251,247,250
252,252,178
252,252,182
238,250,252
240,251,242
252,252,186
252,252,190
252,252,194
252,252,198
252,252,203
238,252,252
252,252,208
252,252,214
252,252,221
243,252,252
251,252,236
251,252,246
247,252,252
