R,G,B
0,0,0
0,0,0
255,254,254
150,199,240
200,229,250
0,89,169
241,234,199
219,0,0
0,159,0
254,219,0
160,160,160
199,0,119
80,139,80
228,244,251
252,238,187
252,252,185
251,224,240
225,243,221
250,252,223
252,229,170
252,252,206
236,228,247
252,252,195
230,234,231
252,227,188
251,251,170
229,243,188
218,243,252
221,240,252
251,239,168
249,251,235
252,252,179
252,252,213
252,228,179
236,236,178
249,234,245
229,235,250
249,231,215
231,244,175
230,250,252
252,239,178
251,229,231
234,248,238
252,252,190
252,252,200
216,239,228
230,241,199
217,239,239
160,194,246
189,186,152
232,213,235
250,154,147
246,211,168
199,217,224
180,186,192
197,198,192
140,181,245
219,220,161
245,178,109
250,210,227
243,177,201
212,212,197
240,161,190
214,214,173
198,193,145
235,214,160
215,218,216
247,146,179
184,212,247
250,183,158
216,217,242
184,181,170
160,197,134
246,195,217
216,191,156
226,182,113
244,208,183
211,180,210
137,135,132
233,121,156
167,162,128
101,97,93
131,165,230
243,116,127
213,119,154
215,137,172
130,169,116
123,119,112
201,119,123
145,139,115
194,152,101
146,155,167
188,117,154
110,103,93
160,156,142
126,120,100
241,111,129
120,124,156
186,140,174
107,102,84
112,110,110
243,130,134
239,117,142
74,68,66
93,91,85
81,80,73
97,87,74
84,81,78
90,87,89
81,77,75
74,69,62
87,82,70
92,83,81
94,89,79
72,73,70
67,65,60
76,73,68
67,63,63
78,73,75
89,84,78
95,90,87
78,79,75
85,87,78
83,77,71
78,76,65
87,87,84
93,90,74
71,72,65
